,Abaddon,Alchemist,Ancient Apparition,Anti-Mage,Arc Warden,Axe,Bane,Batrider,Beastmaster,Bloodseeker,Bounty Hunter,Brewmaster,Bristleback,Broodmother,Centaur Warrunner,Chaos Knight,Chen,Clinkz,Clockwerk,Crystal Maiden,Dark Seer,Dark Willow,Dazzle,Death Prophet,Disruptor,Doom,Dragon Knight,Drow Ranger,Earth Spirit,Earthshaker,Elder Titan,Ember Spirit,Enchantress,Enigma,Faceless Void,Grimstroke,Gyrocopter,Huskar,Invoker,Io,Jakiro,Juggernaut,Keeper of the Light,Kunkka,Legion Commander,Leshrac,Lich,Lifestealer,Lina,Lion,Lone Druid,Luna,Lycan,Magnus,Mars,Medusa,Meepo,Mirana,Monkey King,Morphling,Naga Siren,Nature's Prophet,Necrophos,Night Stalker,Nyx Assassin,Ogre Magi,Omniknight,Oracle,Outworld Devourer,Pangolier,Phantom Assassin,Phantom Lancer,Phoenix,Puck,Pudge,Pugna,Queen of Pain,Razor,Riki,Rubick,Sand King,Shadow Demon,Shadow Fiend,Shadow Shaman,Silencer,Skywrath Mage,Slardar,Slark,Snapfire,Sniper,Spectre,Spirit Breaker,Storm Spirit,Sven,Techies,Templar Assassin,Terrorblade,Tidehunter,Timbersaw,Tinker,Tiny,Treant Protector,Troll Warlord,Tusk,Underlord,Undying,Ursa,Vengeful Spirit,Venomancer,Viper,Visage,Void Spirit,Warlock,Weaver,Windranger,Winter Wyvern,Witch Doctor,Wraith King,Zeus
Ogre Magi,51.9038,51.0742,52.8163,50.5442,55.6365,52.8113,52.3308,58.4487,48.0764,51.975,52.51,54.8951,55.2286,52.2729,54.7473,52.3633,54.7279,53.5832,51.4277,51.6335,50.7257,52.9047,53.3227,56.9208,54.0841,57.1355,52.8127,54.5356,56.9598,55.0884,53.2322,58.0957,60.617,52.4519,54.3039,56.8994,59.1681,54.2655,55.7305,59.6544,51.0539,53.7288,54.2399,56.8936,53.7299,61.7968,52.3459,54.9273,57.7594,55.6924,49.4695,51.9685,50.7892,58.2076,55.7623,54.882,48.9563,52.3967,56.1808,57.0231,50.3246,58.4212,50.6342,52.7182,54.3363,0.0,54.9123,57.1202,59.2233,56.0267,55.7666,51.9562,52.9885,55.9662,53.2197,55.7924,53.783,54.9129,52.1058,57.2784,52.9745,55.8839,55.3527,54.7826,54.5623,54.1932,53.8195,53.6542,55.3116,52.2092,51.5535,53.9978,56.7438,55.8346,53.8326,56.1532,56.3109,52.6755,58.2674,57.7293,60.3556,52.1491,54.9672,55.3228,49.8909,53.3398,52.4219,51.7796,52.6945,56.7337,49.9524,54.8652,51.4077,55.5694,54.7368,55.5033,53.5528,48.6391,51.5179
Omniknight,47.4421,45.7125,45.5196,45.2768,51.5959,48.6363,48.3883,53.8802,44.9055,44.6184,47.4511,50.4608,49.3728,49.6031,49.207,50.2173,52.9699,49.5345,45.7745,44.7722,43.2559,48.2194,47.736,50.6562,47.8754,49.8331,47.2691,47.2689,53.3032,48.5048,49.5393,52.7131,52.5627,46.0713,46.8584,50.7945,52.9502,48.8712,50.1692,54.5454,45.2038,49.6332,46.8997,51.0027,50.0834,54.3528,46.002,51.475,51.3034,49.8596,45.9529,44.9062,50.4159,54.8948,50.1137,47.1566,48.0228,46.9727,49.3185,48.7959,49.6565,51.7625,41.9626,47.1761,48.7029,45.0876,0.0,53.2203,49.3344,48.1478,50.4962,50.5628,47.0265,51.8195,48.6152,47.3394,48.4139,46.1332,46.0103,50.6465,47.2732,50.0593,47.364,51.5114,48.0519,48.3933,48.6822,49.95,48.2385,44.93,46.8841,49.8105,52.6885,50.4162,48.0104,51.8658,50.9929,48.9041,49.8542,52.1355,53.878,48.3679,47.7862,50.4688,42.9321,47.2966,46.3835,47.0532,47.0736,51.021,46.8171,49.701,47.0913,47.5586,47.0394,51.1296,48.5685,44.3448,45.5444
Oracle,45.7819,42.3147,45.3155,42.6066,49.4013,44.7458,44.3022,51.4232,40.9918,42.4532,44.9128,47.9378,45.2455,44.9353,46.5806,43.4071,45.7524,44.1969,43.4209,43.2926,46.6599,45.9823,45.2275,47.0307,46.9978,48.8441,43.5905,44.5636,48.5253,45.8813,46.4023,52.1356,49.204,46.3682,46.7967,49.3575,50.7582,45.2669,48.2826,50.9465,43.8928,45.6468,45.2961,48.2451,48.4693,52.0432,46.1247,47.7343,48.0487,47.9679,42.6646,42.8161,40.2833,51.2595,47.6692,45.1691,43.8068,44.0585,46.6496,48.709,44.9027,49.6299,43.9988,41.5999,45.0199,42.8797,46.7796,0.0,48.5549,48.8324,45.8564,46.1475,45.821,48.177,46.1824,46.5768,46.2939,42.4875,41.7807,49.4924,46.6748,46.9095,45.5016,45.6199,46.9347,47.9733,44.6367,46.6937,47.221,44.4858,43.1523,46.6115,50.764,47.2954,47.7859,45.6431,47.973,44.0959,49.3072,50.7329,50.7106,45.6152,46.0532,46.4785,42.562,43.3459,43.6782,42.6119,45.3692,48.3047,40.0799,47.2761,45.0931,45.5479,45.6272,47.6514,45.2226,41.4722,44.3016
Outworld Devourer,47.149,44.6357,44.4151,43.1051,42.218,46.1385,42.5922,49.0823,38.5779,43.0151,43.7382,44.2425,46.2141,39.1761,46.6366,42.8265,48.2845,43.735,43.3924,43.6936,43.8806,44.2241,45.7196,46.2002,44.7204,47.6234,46.6689,43.674,49.1687,46.2503,45.4239,49.7317,49.1078,43.0968,44.9819,48.0296,50.978,43.9993,47.1696,52.5658,42.1994,45.234,44.3482,49.8485,46.5902,53.2678,44.8351,45.1083,47.9771,47.2899,42.2666,42.5827,40.3306,49.8356,48.5069,41.2512,49.1962,43.6156,48.9075,52.5766,45.7968,48.67,39.7579,40.2342,41.9975,40.7766,50.6655,51.445,0.0,47.3821,43.6827,44.5151,42.9084,45.2141,45.2634,43.0976,39.3021,46.2416,41.6513,48.5897,44.3207,47.5733,48.1482,45.6957,42.8128,44.0126,45.0975,49.1509,46.952,41.2194,41.1983,45.8121,46.7367,46.3358,46.1695,44.4157,47.0039,47.0226,51.0907,47.2332,51.498,44.6839,48.1939,47.8211,44.3152,43.6355,43.3895,43.668,43.883,48.5471,38.8755,44.8443,42.4867,45.4864,43.8912,47.122,44.6461,39.2527,39.1403
Pangolier,49.1201,45.5887,47.3598,45.7427,50.7445,46.8113,44.4567,53.1406,45.7521,42.1877,46.1334,50.3194,49.5423,51.9993,47.4862,49.5508,50.0455,44.4267,46.3151,45.8059,46.1543,47.0648,48.8496,51.3282,47.753,51.25,46.5653,47.0691,51.7399,49.0286,47.5852,50.9579,52.8498,47.0849,47.0615,49.7235,52.4082,48.0111,49.9741,54.3289,45.8347,46.668,48.5451,52.134,50.0338,55.0097,47.8377,49.8284,50.7864,49.8409,45.9788,45.3004,48.5073,52.8844,50.544,49.8059,52.1964,45.6058,49.4148,49.7562,50.0813,52.9266,44.6499,43.5352,48.2255,43.9827,51.8662,51.1504,52.6184,0.0,49.5831,52.0937,46.857,49.0918,48.5292,48.1147,46.2935,47.6825,43.9542,51.2769,48.47,52.1649,48.6009,48.1192,48.3328,46.3524,48.0731,48.7964,49.5463,46.1266,46.0261,47.9988,50.5485,49.1109,46.9603,50.0503,52.4564,48.3157,51.4567,50.9939,54.3721,47.3036,48.443,50.9252,44.7683,49.6939,46.4012,45.82,46.9947,51.3984,46.726,47.3278,46.8738,47.7661,46.8642,49.4305,48.515,44.3742,44.8671
Phantom Assassin,48.8488,48.7843,49.4068,51.6093,53.228,47.4596,47.334,53.1561,47.6455,46.3839,46.9749,51.0257,49.3945,51.7641,50.0521,50.2513,52.8538,51.3906,45.57,47.7587,47.7273,49.2372,49.4955,53.1713,50.7081,53.6455,46.903,51.1569,51.6797,50.3005,51.2369,53.4026,57.4161,50.1809,49.1341,53.2752,53.0891,52.6188,53.4795,56.1372,47.1197,49.2928,51.3474,52.1673,50.9828,56.9688,48.2498,52.6803,54.3641,52.2016,49.0734,46.3574,51.3755,54.3827,50.7347,47.8024,46.0395,47.5885,51.9457,49.0998,49.1166,55.5452,46.3218,47.1159,48.9922,44.2333,49.5037,54.1435,56.3172,50.4235,0.0,51.872,47.1262,52.8152,48.5325,49.7172,48.9269,49.9106,48.8867,53.3933,49.1323,53.1447,50.2173,51.7674,50.5901,50.0273,49.9536,50.1363,51.3681,50.0379,46.3762,49.3459,53.4767,52.579,49.6747,50.7526,51.1811,47.6097,51.7511,53.4479,54.8736,47.766,46.7665,50.9657,45.9248,50.0272,47.337,47.5498,49.5479,53.1407,48.3929,49.4377,48.5925,50.4628,48.306,52.3804,50.5914,44.6277,47.5459
Phantom Lancer,48.4326,43.1232,50.8543,45.0316,53.8274,42.6381,49.6596,53.5216,47.78,45.7036,48.2858,50.6535,48.2915,50.1495,45.8849,52.8266,52.7545,52.4414,48.9863,43.0849,39.0263,49.3745,50.0065,52.8681,47.7658,51.1044,47.6312,52.7874,50.3832,46.0515,44.2868,47.2392,55.9815,46.0089,49.0203,49.5521,51.7912,51.3406,51.4414,53.7373,43.3618,48.0058,45.291,48.3771,46.8913,50.6739,48.0237,50.4493,51.309,49.9796,47.3965,47.662,49.987,49.8606,52.8538,48.8476,42.9894,48.3739,49.6439,53.11,45.6561,54.6212,42.0476,47.5898,47.3592,48.0437,49.4371,53.8524,55.4848,47.8899,48.1279,0.0,46.223,46.2226,48.6763,49.7711,47.8622,48.1002,46.343,50.57,42.4051,54.4961,49.6,52.1314,53.0951,50.46,50.8881,50.0953,48.3645,46.52,44.5263,49.5021,49.1771,46.5946,46.4978,55.6027,55.2165,44.564,46.5151,52.7458,52.3621,47.9308,46.9428,51.5536,40.6061,49.2161,49.2392,49.749,50.9156,54.3442,50.278,47.6011,46.8049,49.3135,48.6495,51.2639,49.2638,47.8298,43.1005
Phoenix,48.589,47.077,50.0811,47.8242,50.6777,50.9749,47.8402,55.0354,48.3841,45.7013,49.402,53.195,50.8119,51.1314,51.4327,54.1049,51.4934,48.1537,49.9776,49.2607,49.2927,50.1858,51.3121,52.637,50.9952,54.408,49.9399,49.7231,54.4366,52.6559,51.0408,54.9495,55.5082,51.0515,51.0783,54.9515,55.6644,50.6245,52.3407,53.9496,48.1498,49.0266,49.5748,54.7983,50.6663,58.191,51.6471,50.1115,52.3755,52.3483,49.5311,48.7757,52.3715,56.7178,53.3089,50.2301,51.4163,48.1882,54.4768,50.8247,53.9007,54.7009,48.0879,49.9954,50.0852,47.0114,52.9734,54.1789,57.0915,53.1419,52.8737,53.7769,0.0,52.4563,51.9521,51.9363,49.676,50.5946,46.3987,55.0954,52.0257,54.3039,51.7528,51.4006,50.8943,49.8949,51.2389,51.8519,50.9772,48.4263,50.1748,51.4222,53.2102,53.2496,51.196,54.2975,55.4248,49.98,53.9345,54.8659,57.7458,52.3222,51.15,54.1446,47.6116,51.366,48.0615,48.5703,50.3976,53.1309,48.6533,50.5574,49.9948,50.2328,50.5144,52.8632,51.344,47.7898,48.328
Puck,45.8867,40.8762,47.4057,46.5102,48.1493,46.5427,45.2117,53.5821,43.5663,43.9911,45.0129,49.6391,46.9422,48.4156,47.5196,47.8742,48.6799,44.3401,45.0461,45.7263,45.181,48.0206,47.1814,50.0224,46.8075,50.3719,43.0174,46.7421,51.0632,49.022,47.7617,51.9295,52.4408,46.9743,47.3807,50.8887,50.6112,46.834,50.6477,52.9009,44.4078,47.6329,47.3614,48.9495,46.3714,54.4047,47.2082,47.9975,50.7964,48.8439,41.4666,42.698,45.3862,50.2351,48.9999,44.2042,45.6862,46.1463,46.7925,52.4651,49.8099,50.0966,44.0686,42.859,46.2859,44.0337,48.1804,51.8229,54.7858,50.9144,47.1847,53.7773,47.5436,0.0,47.9077,48.6628,50.6627,45.101,43.4125,50.6418,47.1106,50.8356,47.0353,47.5211,46.787,48.0113,46.7477,50.2045,49.1931,43.3216,43.4044,47.9628,52.1982,48.0296,46.6742,45.3069,50.5831,46.4348,51.6632,53.4823,52.6668,47.0604,45.2161,49.7813,42.6175,45.7562,43.5563,45.0669,44.8738,48.9329,44.7606,47.9959,44.0399,48.3069,47.7828,48.6633,47.5297,40.4225,43.0175
Pudge,47.9801,47.8014,49.1018,46.8731,52.3598,49.7201,49.0597,53.9244,44.7306,48.0123,48.4608,50.7303,49.1693,50.171,50.4272,49.2359,51.2631,48.4205,46.0959,49.0618,47.1505,49.5228,48.0691,50.9959,49.4556,53.8307,49.3438,52.2531,52.6699,50.5743,49.5485,53.6161,56.953,49.2591,51.0569,52.1947,54.7873,52.7452,52.433,55.7406,47.0495,50.7858,49.3084,51.7562,50.6024,57.5555,48.9226,52.0162,53.9753,52.0529,43.8973,48.6976,45.9137,53.194,51.4399,49.698,48.0016,48.3668,51.0371,53.2446,48.6364,55.8422,48.5887,46.779,49.7954,46.7802,51.3847,53.8175,54.7365,51.4702,51.4674,51.3236,48.0478,52.0922,0.0,54.1424,49.3102,50.4473,47.2192,54.1152,50.5027,52.7159,51.4327,50.6413,50.0896,50.2658,47.9204,50.2231,51.0221,50.358,47.6053,50.2498,52.6478,50.9624,52.3567,53.1047,52.0246,48.9863,53.2864,57.2754,56.2376,49.9342,48.4196,50.877,47.5263,47.8764,44.9219,47.7895,50.3184,54.8722,45.9412,49.7536,46.8577,49.3056,49.8701,51.329,49.5633,43.3104,47.9364
Pugna,48.3458,46.4454,47.8133,43.967,50.3789,49.0141,47.1861,53.1449,45.7244,46.697,47.8005,51.1049,48.5384,49.6642,49.326,47.4964,50.7943,48.3203,45.4898,47.2792,45.3943,50.2339,49.691,52.0475,49.6747,52.1195,48.4149,48.0763,52.673,50.2446,48.8279,52.3948,54.8844,48.1561,48.3078,53.5423,53.0897,49.4175,51.8074,54.9423,47.2401,49.2567,49.6536,50.9658,50.2742,56.1709,50.0172,50.2459,53.8047,51.6404,45.3516,46.0106,45.8049,53.3278,52.0453,47.528,49.6099,46.9217,51.7968,52.5843,49.2018,53.0822,48.288,45.0622,48.571,44.2095,52.6469,53.4124,56.9104,51.8808,50.2863,50.2285,48.0621,51.3362,45.8566,0.0,49.6926,48.516,45.267,53.5151,48.8145,51.7643,49.5188,50.3507,49.1566,50.6889,48.8493,52.5045,49.9535,45.2278,46.2469,48.8394,53.1196,50.2197,48.7121,52.2266,53.7855,48.7887,55.6108,55.5991,54.6815,48.8619,51.1158,52.2053,46.1403,49.5353,46.5193,46.3911,48.219,51.3628,44.5677,50.2744,46.5235,48.7364,49.5454,52.4136,48.3293,44.2816,45.4616
Queen of Pain,48.1592,48.1854,49.852,46.5787,51.3649,49.4591,48.2853,56.855,47.823,47.2419,49.2093,53.8035,51.2777,49.6612,51.4079,50.0444,53.2483,48.4301,49.4648,48.3181,48.7786,50.5128,50.1674,53.9282,50.6196,54.3272,47.666,49.1511,53.2941,51.9387,51.2002,53.1688,55.9767,49.6107,49.6144,53.9486,55.2851,48.4615,51.5697,56.0846,47.7953,50.9918,52.1168,52.2238,48.5776,58.6409,50.0624,52.9435,52.9444,52.0898,46.5445,47.6566,49.7479,55.5755,54.3819,46.4648,48.0564,48.4294,54.9896,54.6304,50.7702,54.1174,47.6759,47.2816,49.4477,46.218,51.5727,53.7199,60.6968,53.6994,51.0784,52.1312,50.3327,49.3329,50.6892,50.3073,0.0,53.7207,46.2191,54.3593,50.1571,54.3642,51.5536,50.5333,50.1914,49.4195,50.4006,50.5394,52.2022,48.2926,48.0527,50.816,55.4582,51.5275,48.8588,50.7253,53.7991,48.9877,55.1434,55.08,56.6306,49.7239,49.8414,52.9466,47.2347,49.6868,48.348,48.5775,48.9005,49.7541,46.6928,51.1412,48.5755,50.3268,51.1783,52.1503,49.3319,45.0376,46.3537
Razor,50.5017,51.3778,48.9978,45.7574,48.8718,50.8487,48.9275,55.3824,47.542,45.9334,47.9668,49.818,48.1672,48.9466,51.6288,49.2431,53.4051,48.0121,46.1402,47.1919,47.1278,49.5175,50.2996,53.2546,50.2096,54.0085,49.9671,49.0547,53.2166,52.3431,50.4103,53.5208,55.9084,48.8115,49.6172,54.9743,54.5349,54.8835,52.6483,57.3218,48.2455,51.8941,50.6032,54.4567,51.5912,58.5009,49.2409,54.2154,54.7398,53.3913,47.7135,46.2188,47.6651,55.5013,51.3572,48.8949,48.6482,47.9792,53.3897,49.8666,48.6622,51.8335,46.3387,48.4539,49.7163,45.087,53.8667,57.5124,53.7583,52.3111,50.0893,51.8997,49.4053,54.8989,49.5526,51.4813,46.2742,0.0,48.0714,54.531,50.1885,52.6593,52.1939,51.6501,51.3319,49.9643,50.6145,51.5395,52.4165,46.2985,45.8571,50.6147,52.1909,51.3889,48.3321,55.1423,50.4437,51.7823,54.6679,53.3862,56.856,49.9148,52.8793,52.4295,47.6407,48.2075,48.9679,48.2208,48.0395,51.2344,46.931,51.6543,48.8064,47.585,48.7557,52.2959,49.0657,44.6125,46.0903
Riki,51.5798,49.1856,53.5408,53.4589,54.92,51.8784,51.2796,57.2873,47.896,47.7226,46.7047,55.6797,51.0118,50.7077,54.2015,52.4218,54.029,53.0899,51.5312,50.2057,50.1862,52.7257,52.9073,55.5087,52.5496,55.8011,49.5017,52.4054,55.4946,54.3171,53.2217,56.778,57.7194,53.8202,53.7626,56.2585,56.1135,54.58,57.0888,56.7987,49.9649,54.9767,53.816,56.0341,52.1551,59.2118,52.714,56.0152,56.5992,54.8696,49.9175,48.6745,48.7799,58.3093,57.3399,54.1379,48.2394,51.4141,54.2725,56.0199,48.4178,56.5186,48.963,49.0407,53.4289,47.8916,53.9856,58.2478,58.366,56.0457,51.112,53.6567,53.593,56.5933,52.7815,54.7534,53.7832,51.9085,0.0,56.8234,52.0599,57.4601,52.6837,53.5851,52.457,53.0501,50.4372,54.8181,55.0453,50.5839,48.1875,52.7827,57.6642,52.6771,50.6216,54.3958,54.2761,51.9841,56.9355,57.6228,56.9473,51.8544,49.7432,55.4782,47.1174,53.0076,51.4887,50.694,50.0146,55.5146,50.9685,54.2883,51.1821,55.5056,52.64,54.7727,54.439,46.0061,48.1541
Rubick,46.6159,43.6808,45.7047,44.2555,47.7702,44.4317,44.7817,50.3962,44.8221,44.5152,44.4863,47.4543,46.5849,46.873,46.5976,46.6158,47.7987,44.3844,42.9168,45.2227,45.0276,45.923,45.973,49.4925,46.338,50.0619,44.7518,45.2786,48.758,48.4625,45.424,49.9624,51.5199,49.1404,46.6777,50.2529,50.9327,46.4933,48.3676,52.9631,45.6358,46.7129,46.962,49.1858,46.4177,53.9748,45.9951,47.5151,49.9524,48.8615,43.1828,45.5967,44.5305,51.9548,48.0214,48.1139,45.9548,45.0316,47.9863,50.9424,47.5187,50.4703,42.2182,43.057,47.4545,42.7255,49.3457,50.5094,51.4146,48.7421,46.6052,49.4236,44.9107,49.3669,45.8837,46.4848,45.6406,45.4653,43.1685,0.0,46.6602,48.6762,47.4628,47.6415,46.9,46.0262,46.2337,46.7423,47.983,44.4427,42.6184,46.3445,49.0083,48.7033,46.5793,47.6188,48.9844,46.538,50.2392,49.76,51.4929,46.2062,45.8026,48.3531,46.0747,46.3591,42.7097,44.7807,45.5438,49.5035,43.6672,47.0042,45.1452,48.946,45.9087,48.1462,46.4863,42.8818,42.7411
Sand King,49.9759,46.4168,48.6561,46.0896,52.0236,50.3812,48.9344,54.6876,48.3152,46.8828,47.1053,52.7948,48.5815,53.8269,50.494,52.9483,52.8222,47.8842,48.3615,47.3803,47.5099,50.6094,49.3016,53.0704,49.3344,52.9088,49.4821,50.4118,53.8293,52.2607,49.8451,53.6321,56.5548,49.4741,49.6333,52.9982,55.1756,51.1781,52.7408,56.6014,46.6801,48.9827,49.3885,52.6449,50.8353,57.409,50.5259,50.4691,53.9102,52.3398,47.4238,49.7558,49.2488,53.4321,52.4912,50.4937,52.7775,48.2044,52.2073,53.7753,56.562,56.2388,46.5846,47.5181,50.9837,47.0254,52.7267,53.3251,55.6792,51.5244,50.8676,57.5948,47.9742,52.8893,49.4972,51.1809,49.8403,49.8114,47.9267,53.3408,0.0,54.1424,50.5616,51.6169,50.3273,50.1693,49.4321,53.0295,50.3977,46.7667,46.4508,51.6457,53.5833,51.161,49.9226,53.0316,57.0355,49.1922,52.8373,55.214,56.8132,49.9161,49.49,53.2803,45.4768,49.8641,47.3904,48.3329,48.9981,51.8414,49.1071,50.816,48.6548,51.0912,49.9694,53.4974,50.0383,45.6148,44.1352
Shadow Demon,47.8857,45.9318,47.3327,45.4829,50.5903,46.3953,45.9756,52.4293,43.7774,43.8296,44.1905,47.8081,46.489,48.1241,47.8646,46.8723,47.3564,46.2376,45.1564,44.791,44.2323,47.6341,46.4395,49.6267,48.1838,49.5565,46.7869,47.7229,48.5463,47.7548,47.6971,49.6537,51.4686,45.9191,46.6938,52.6441,52.242,48.1027,49.8182,52.2533,43.8335,47.0764,46.7802,49.562,49.0912,53.2195,47.2077,48.7617,50.708,49.4472,41.2268,46.6304,44.2509,52.6858,48.6913,48.0849,45.8831,46.004,49.6102,49.393,46.5226,53.2728,45.4775,44.7897,46.3788,44.116,49.9406,53.0904,52.4266,47.8317,46.8552,45.5038,45.696,49.1643,47.284,48.2268,45.6198,47.3406,42.5303,51.319,45.8575,0.0,49.5416,48.5486,47.8941,48.9824,46.7524,49.2874,47.8649,44.817,44.6768,47.584,48.4727,48.4741,48.5377,49.9945,52.2323,45.9291,48.0655,52.1758,52.9561,46.6046,47.4936,48.9342,42.5438,45.9935,45.1125,46.2952,46.8544,50.0971,43.936,46.6478,45.569,46.6466,48.9377,48.5943,47.1187,43.1458,43.8465
Shadow Fiend,49.1674,47.7849,47.7398,49.0042,48.3497,47.3441,46.2336,52.1605,44.7957,46.3252,45.2054,50.1605,50.1928,50.5971,50.1267,49.598,51.6018,47.3144,44.5134,47.7129,45.9797,48.849,49.8872,53.3705,48.8597,52.6607,47.2897,48.3918,51.9167,50.2075,48.6402,54.1381,54.9473,47.9704,48.8038,53.4769,53.041,52.0333,50.3009,55.3448,46.2266,48.7808,48.708,51.5412,49.997,56.2372,47.899,50.684,51.8387,50.7199,45.6675,45.2987,47.7092,52.7548,49.5577,47.6074,54.4513,46.8647,50.3263,52.9826,50.2203,53.8857,47.4501,46.2353,49.0015,44.6472,52.6359,54.4983,51.8517,51.4014,49.7826,50.3999,48.2471,52.9646,48.5672,50.4767,48.4464,47.806,47.3121,52.5363,49.4383,50.4583,0.0,49.6049,50.936,48.749,47.4672,51.1098,50.4247,46.3694,47.2209,48.7283,52.2145,50.4469,48.209,47.2148,50.371,49.5957,53.4601,52.0286,54.4428,48.414,47.9326,50.2529,46.4759,49.6423,44.5623,46.6486,47.9949,52.0786,45.0549,49.3699,48.7005,50.3279,47.2485,49.2871,48.6366,43.2341,43.5405
Shadow Shaman,46.6427,45.9322,48.5883,48.608,49.5386,47.9031,47.9346,53.8663,44.546,46.1939,47.1995,51.2241,49.015,49.0641,49.9136,47.8934,50.4037,47.3697,46.0728,47.557,45.3823,48.2093,48.5422,52.2734,48.8478,52.655,46.748,47.3873,52.3271,50.0148,48.7454,53.1878,53.1958,48.4661,50.2939,51.978,52.3404,51.6538,50.9608,55.2411,45.8926,50.4322,48.5723,51.1924,49.3579,56.564,47.8897,51.2818,52.3951,51.1682,42.4283,45.2277,48.2295,53.5627,50.0883,48.3158,43.4671,46.7865,50.5728,52.048,46.2168,53.1237,45.91,46.6685,49.6139,45.2172,48.4875,54.383,54.3033,51.8993,48.232,47.8671,48.596,52.459,49.3589,49.6492,49.4666,48.3484,46.4241,52.3584,48.3768,51.4337,50.4031,0.0,48.2497,49.2903,48.7971,49.2454,49.8958,45.8692,43.6313,49.0959,53.4499,51.0467,48.9356,53.3427,49.4114,47.5702,51.9462,54.3445,54.7085,47.3924,49.3119,50.8402,45.0986,48.7205,47.1965,46.4752,47.8343,52.4357,45.4607,50.2171,45.7694,50.8161,49.1736,50.0168,48.1364,42.9993,45.955
Silencer,45.523,45.6357,49.064,48.098,48.9753,48.9915,49.4703,55.0209,43.9559,46.1604,46.6404,50.2077,53.4396,46.311,50.242,49.0367,50.2735,47.2547,46.4092,48.0312,46.8678,49.0099,49.6658,53.0373,48.9686,52.4153,48.1853,49.1772,53.1305,51.2847,49.3655,55.5146,54.0419,50.9952,50.3691,53.5467,54.1766,50.1849,51.9134,55.0285,46.7755,49.9017,49.5973,52.8849,48.0807,57.3248,48.8319,50.5202,52.8707,52.0926,43.2822,46.0949,45.5092,54.5466,51.8588,47.4432,47.7402,47.3778,51.073,51.9695,45.5264,52.4053,48.2965,45.5527,49.7464,45.4376,51.948,53.0652,57.1871,51.6701,49.4098,46.9048,49.1056,53.2129,49.9103,50.8403,49.8108,48.668,47.5428,53.0988,49.6726,52.1058,49.0639,51.7576,0.0,49.6366,49.2089,49.1407,51.0342,46.4313,45.2661,49.4512,54.8869,51.8328,48.9067,51.6689,51.3428,47.8015,55.9745,54.4262,55.8935,47.8915,48.3793,51.5826,45.3855,49.646,47.1704,47.6348,48.6335,53.1266,46.5872,51.3976,46.7676,50.8189,48.5444,50.4989,49.6243,43.3252,46.4493
Skywrath Mage,47.1516,47.9207,49.5847,46.3339,51.47,49.3849,47.901,54.3271,45.9584,47.4294,47.5497,52.4946,48.4644,48.2382,48.6796,48.482,52.0611,48.5442,46.7714,47.8257,48.073,49.6771,48.8278,52.4277,49.8663,53.9735,47.5223,51.0176,52.8902,51.7651,50.0747,53.8756,55.8884,51.2106,51.4907,53.5386,54.0825,52.3693,52.3194,55.9047,47.3157,51.9576,50.2531,52.0935,49.8639,57.1605,49.2342,51.9131,53.9566,51.9216,44.8991,48.4242,47.1326,54.3074,52.1646,48.1144,48.2982,48.2584,53.1796,54.9147,47.8321,54.6024,49.2794,46.7941,49.9771,45.8067,51.6066,52.0266,55.9873,53.6467,49.9726,49.5399,50.105,51.9886,49.7341,49.3201,50.5874,50.0356,46.9328,53.9748,49.8306,51.0175,51.2509,50.7056,50.3633,0.0,49.3974,51.535,51.5448,49.2459,45.1038,49.1461,54.167,51.1715,50.4301,50.0654,54.0,48.1831,54.6415,55.0092,56.7527,49.4921,50.0492,50.6141,47.4994,48.8691,47.7677,47.7132,50.3533,52.9858,46.1652,50.5054,47.3848,51.5809,50.1592,51.4456,50.3013,42.8009,47.4568
Slardar,48.9064,49.5539,49.6738,53.0601,52.9343,49.9535,49.5781,54.7503,45.3849,47.3622,49.6954,51.8755,51.7797,51.8579,52.0339,49.8159,54.1749,50.1327,47.4707,48.619,47.8099,49.0032,50.4983,53.5238,50.5559,54.9266,48.6884,49.2845,54.967,51.3436,51.7,54.3441,55.494,49.2104,51.9461,54.1162,53.222,51.3704,53.1784,58.5384,47.0009,49.8897,50.0743,54.1972,51.9616,57.5903,48.6412,54.6179,53.8211,51.9051,48.3825,45.7562,50.317,55.3419,52.5028,48.41,48.0127,48.7989,53.0755,53.3887,46.7135,55.947,46.9808,48.6549,51.6583,46.1804,51.3177,55.3632,54.9024,51.9241,50.0463,49.1118,48.761,53.2522,52.0795,51.1542,49.5933,49.3854,49.5568,53.7692,50.5678,53.2475,52.5327,51.1982,50.791,50.6025,0.0,50.8761,52.4295,48.4836,50.2838,50.9628,54.3835,52.6758,50.8864,52.7773,49.3462,47.8883,54.5614,54.2731,56.5254,49.4055,46.5816,53.1999,47.454,50.5734,48.5502,47.9112,48.0208,54.0777,46.9944,51.3901,49.4242,51.3823,48.2861,51.6487,50.0118,46.2288,47.7173
